Shift,Mon,Tues,Wed,Thurs,Fri,Sat/Sun
"Neuro 1 (CT STAT, on site)",EW,MR,SK,KF,KF  CF,
"Neuro 2 (MRI STAT, on site)",SK+LN+late,KF,SH  NK,IM+late,SK +late,
Vascular (on site),ZB*,ZB*,ZB*,ZB*,ZB*,
"General (XR+GI to 1600, on site)",CC,WW+rds,BA,DK,CC*,
"CT/US (ER+IP to1600, on site)",KH,FG+late (LDOS),KH  BD,WW,BA,
MSK (on site),HC+rds,SR,MC(+KL),SR,HC+late,
Neuro 3 (CT volume support),NK  SK,EW,KF,CF,MR,
Neuro 4 (MR volume support),BD,SH,IM,MR,EW,
Body volume support,BA(+KL),BD,,SH,BD,
Body MRI,,,,KH,,
Stoney Creek,FG,CC,WW,NK,FG,
"MA1 (spec msk, GI Tues/Thr/Fri)",SR,MC,SR,HC,SR,
Speers,DK,KH,FG,EZ,IM,
Walker’s Line,KF,BA NK,BD  KH,EW,EZ,
WH other,SH,DK,CC,FG,DK,
Brant (mammo),WW,KZ* (biopsies),MR,BA,SH (biopsies),
Coiling,,,NO RL CLINIC,,,
MSK Procedures,,,,MC,,
Body 1600-1800,Karikalan (BA),Gastaldo,Karikalan (MC),DW,HC,
Body 1800-2100,BA,HG,MC,DW,GH,
Neuro 1600-1800,SK NK,AM,AM,IM,AS,
Neuro 1800-2100,EW,KF,CF,Ramonas,SH,
